State,County,CD #,"CD Pop. in County","% of County in CD"
FL,Miami-Dade,24,"614,277",24.60%
FL,Miami-Dade,25,"491,074",19.70%
FL,Miami-Dade,26,"623,255",25.00%
FL,Miami-Dade,27,"696,345",27.90%
FL,Monroe,26,"73,090",100.00%
FL,Nassau,4,"73,314",100.00%
FL,Okaloosa,1,"180,822",100.00%
FL,Okeechobee,17,"39,996",100.00%
FL,Orange,7,"273,627",23.90%
FL,Orange,8,"14,940",1.30%
FL,Orange,9,"161,044",14.10%
FL,Orange,10,"696,345",60.80%
FL,Osceola,9,"268,685",100.00%
FL,Palm Beach,18,"272,237",20.60%
FL,Palm Beach,20,"229,115",17.40%
FL,Palm Beach,21,"696,345",52.70%
FL,Palm Beach,22,"122,437",9.30%
FL,Pasco,12,"464,697",100.00%
FL,Pinellas,12,"220,197",24.00%
FL,Pinellas,13,"696,345",76.00%
FL,Polk,9,"266,615",44.30%
FL,Polk,15,"254,777",42.30%
FL,Polk,17,"80,703",13.40%
FL,Putnam,3,"74,364",100.00%
FL,St. Johns,4,"161,834",85.20%
FL,St. Johns,6,"28,205",14.80%
FL,St. Lucie,18,"277,789",100.00%
FL,Santa Rosa,1,"151,372",100.00%
FL,Sarasota,16,"215,841",56.90%
FL,Sarasota,17,"163,607",43.10%
FL,Seminole,7,"422,718",100.00%
FL,Sumter,11,"93,420",100.00%
FL,Suwannee,2,"41,551",100.00%
FL,Taylor,2,"22,570",100.00%
FL,Union,3,"15,535",100.00%
FL,Volusia,6,"494,593",100.00%
FL,Wakulla,2,"30,776",100.00%
FL,Walton,1,"55,043",100.00%
FL,Washington,2,"24,896",100.00%
GA,Appling,12,"18,236",100.00%
GA,Atkinson,8,"8,375",100.00%
GA,Bacon,1,"11,096",100.00%
GA,Baker,2,"3,451",100.00%
GA,Baldwin,10,"45,720",100.00%
GA,Banks,9,"18,395",100.00%
GA,Barrow,10,"69,367",100.00%
GA,Bartow,11,"100,157",100.00%
GA,Ben Hill,8,"17,634",100.00%
GA,Berrien,8,"19,286",100.00%
GA,Bibb,2,"112,650",72.40%
GA,Bibb,8,"42,897",27.60%
GA,Bleckley,8,"13,063",100.00%
GA,Brantley,1,"18,411",100.00%
GA,Brooks,8,"16,243",100.00%
GA,Bryan,1,"30,233",100.00%
GA,Bulloch,12,"70,217",100.00%
GA,Burke,12,"23,316",100.00%
GA,Butts,10,"23,655",100.00%
GA,Calhoun,2,"6,694",100.00%
GA,Camden,1,"50,513",100.00%
GA,Candler,12,"10,998",100.00%
GA,Carroll,3,"110,527",100.00%
GA,Catoosa,14,"63,942",100.00%
GA,Charlton,1,"12,171",100.00%
GA,Chatham,1,"265,128",100.00%
GA,Chattahoochee,2,"11,267",100.00%
GA,Chattooga,14,"26,015",100.00%
GA,Cherokee,11,"214,346",100.00%
GA,Clarke,9,"17,178",14.70%
GA,Clarke,10,"99,536",85.30%
GA,Clay,2,"3,183",100.00%
GA,Clayton,5,"103,264",39.80%
GA,Clayton,13,"156,160",60.20%
GA,Clinch,1,"6,798",100.00%
GA,Cobb,6,"178,647",26.00%
GA,Cobb,11,"337,811",49.10%
GA,Cobb,13,"171,620",24.90%
GA,Coffee,12,"42,356",100.00%
GA,Colquitt,8,"45,498",100.00%
GA,Columbia,10,"15,328",12.40%
GA,Columbia,12,"108,725",87.60%
GA,Cook,8,"17,212",100.00%
GA,Coweta,3,"127,317",100.00%
GA,Crawford,2,"12,630",100.00%
GA,Crisp,2,"23,439",100.00%
GA,Dade,14,"16,633",100.00%
GA,Dawson,9,"22,330",100.00%
GA,Decatur,2,"27,842",100.00%
GA,DeKalb,4,"354,275",51.20%
GA,DeKalb,5,"159,596",23.10%
GA,DeKalb,6,"178,022",25.70%
GA,Dodge,8,"21,796",100.00%
GA,Dooly,2,"14,918",100.00%
GA,Dougherty,2,"94,565",100.00%
GA,Douglas,13,"132,403",100.00%
GA,Early,2,"11,008",100.00%
GA,Echols,1,"4,034",100.00%
GA,Effingham,1,"30,877",59.10%
GA,Effingham,12,"21,373",40.90%
GA,Elbert,9,"20,166",100.00%
GA,Emanuel,12,"22,598",100.00%
GA,Evans,12,"11,000",100.00%
GA,Fannin,9,"23,682",100.00%
GA,Fayette,3,"88,905",83.40%
GA,Fayette,13,"17,662",16.60%
GA,Floyd,14,"96,317",100.00%
GA,Forsyth,7,"122,706",69.90%
GA,Forsyth,9,"52,805",30.10%
GA,Franklin,9,"22,084",100.00%
GA,Fulton,5,"429,116",46.60%
GA,Fulton,6,"335,306",36.40%
GA,Fulton,11,"39,661",4.30%
GA,Fulton,13,"116,498",12.70%
GA,Gilmer,9,"28,292",100.00%
GA,Glascock,10,"3,082",100.00%
GA,Glynn,1,"79,626",100.00%
GA,Gordon,14,"55,186",100.00%
GA,Grady,2,"25,011",100.00%
GA,Greene,10,"15,994",100.00%
GA,Gwinnett,4,"173,937",21.60%
GA,Gwinnett,7,"569,270",70.70%
GA,Gwinnett,10,"62,114",7.70%
GA,Habersham,9,"43,041",100.00%
GA,Hall,9,"179,684",100.00%
GA,Hancock,10,"9,429",100.00%
GA,Haralson,14,"28,780",100.00%
GA,Harris,3,"32,024",100.00%
GA,Hart,9,"25,213",100.00%
GA,Heard,3,"11,834",100.00%
GA,Henry,3,"60,521",29.70%
GA,Henry,10,"45,768",22.40%
GA,Henry,13,"97,633",47.90%
GA,Houston,8,"139,900",100.00%
GA,Irwin,8,"9,538",100.00%
GA,Jackson,9,"60,485",100.00%
GA,Jasper,10,"13,900",100.00%
GA,Jeff Davis,12,"15,068",100.00%
GA,Jefferson,10,"16,930",100.00%
GA,Jenkins,12,"8,340",100.00%
GA,Johnson,10,"9,980",100.00%
GA,Jones,8,"28,669",100.00%
GA,Lamar,3,"18,317",100.00%
GA,Lanier,8,"10,078",100.00%
GA,Laurens,12,"48,434",100.00%
GA,Lee,2,"28,298",100.00%
GA,Liberty,1,"63,453",100.00%
GA,Lincoln,10,"7,996",100.00%
GA,Long,1,"14,464",100.00%
GA,Lowndes,1,"5,668",5.20%
GA,Lowndes,8,"103,565",94.80%
GA,Lumpkin,9,"29,966",100.00%
GA,McDuffie,10,"21,875",100.00%
GA,McIntosh,1,"14,333",100.00%
GA,Macon,2,"14,740",100.00%
GA,Madison,9,"28,120",100.00%
GA,Marion,2,"8,742",100.00%
GA,Meriwether,3,"21,992",100.00%
GA,Miller,2,"6,125",100.00%
GA,Mitchell,2,"23,498",100.00%
GA,Monroe,8,"26,424",100.00%
GA,Montgomery,12,"9,123",100.00%
GA,Morgan,10,"17,868",100.00%
GA,Murray,14,"39,628",100.00%
GA,Muscogee,2,"145,487",76.60%
GA,Muscogee,3,"44,398",23.40%
GA,Newton,4,"78,548",78.60%
GA,Newton,10,"21,410",21.40%
GA,Oconee,10,"32,808",100.00%
GA,Oglethorpe,10,"14,899",100.00%
GA,Paulding,14,"142,324",100.00%
GA,Peach,2,"27,695",100.00%
GA,Pickens,9,"19,112",64.90%
GA,Pickens,14,"10,319",35.10%
GA,Pierce,1,"18,758",100.00%
GA,Pike,3,"17,869",100.00%
GA,Polk,14,"41,475",100.00%
GA,Pulaski,8,"12,010",100.00%
GA,Putnam,10,"21,218",100.00%
GA,Quitman,2,"2,513",100.00%
GA,Rabun,9,"16,276",100.00%
GA,Randolph,2,"7,719",100.00%
GA,Richmond,12,"200,549",100.00%
GA,Rockdale,4,"85,215",100.00%
